title,author,year_pub,provider,region,crop,uri,group
Ghana Africa Research in Sustainable Intensification for the Next Generation (Africa RISING) Follow-up Survey,IFPRI,2023,IFPRI,Ghana,,doi:10.7910/DVN/TLKYUA,survey
Optimal planting and harvest time for cassava in Nigeria and Tanzania,"Pypers et al.,",2022,IITA,"Nigeria, Tanzania",cassava,doi:10.25502/4kax-0j30/d,agronomy
"Cassava storage root yield as affected by planting stake orientation, and the origin of the stake within the mother plant stake in SW Nigeria","Hauser et al.,",2023,IITA,Nigeria,cassava,doi:10.25502/35xn-j342/d,agronomy
"Cassava storage root yield as affected by planting stake orientation, diameter, fertilizer application and variety in three sites in SW Nigeria","Hauser et al.,",2023,IITA,Nigeria,cassava,doi:10.25502/35xn-j342/d,agronomy
"Cassava storage root yield as affected by planting stake orientation, and variety in two sites in SW Nigeria","Hauser et al.,",2023,IITA,Nigeria,cassava,doi:10.25502/c9jq-w968/d,agronomy
Irrigation by fertilizer trial with cassava,"Kreye et al.,",2023,IITA,Nigeria,cassava,doi:10.25502/9g1e-ef44/d,agronomy
Cassava maize intercropping in Nigeria,"Pypers et al.,",2016,IITA,"Nigeria, Tanzania",cassava,doi:10.25502/dvff-xx49/d,agronomy
Cassava sweet potato intercropping in Tanzania,"Pypers et al.,",2021,IITA,Tanzania,"cassava, sweetpotato",doi:10.25502/5qx6-wd06,agronomy
"Under best planting practices, the effect of land preparation on cassava root yield in Nigeria","Pypers et al.,",2021,IITA,Nigeria,cassava,doi:10.25502/zwrb-ge44/d,agronomy
Cassava best planting practices set 4 soil data,"Pypers et al.,",2022,IITA,Nigeria,,doi:10.25502/beqq-et80/d,soil
ACAI fraction of photosynthetically rational for cassava,"Pypers et al.,",2022,IITA,Nigeria,cassava,oi:10.25502/s67m-gx20/d,agronomy
